CASC,Long March 3B/YZ-1 | BeiDou-3 M15 & M16,StatusActive,nan,Success,2018,Oct,Mon,15,263.0,China
Roscosmos,Soyuz FG | Soyuz MS-10 (56S),StatusRetired,nan,Failure,2018,Oct,Thu,11,520.0,Kazakhstan
CASC,Long March 2C | Yaogan-32 Group 01,StatusActive,30.8 ,Success,2018,Oct,Tue,9,163.0,China
SpaceX,Falcon 9 Block 5 | SAOCOM 1A,StatusActive,50.0 ,Success,2018,Oct,Mon,8,141.0,USA
ExPace,Kuaizhou 1A | CentiSpace-1 S1,StatusActive,nan,Success,2018,Sep,Sat,29,253.0,China
Arianespace,Ariane 5 ECA | Horizons-3e & Azerspace 2/Intelsat 38,StatusActive,200.0 ,Success,2018,Sep,Tue,25,1358.0,France
MHI,H-IIB | HTV-7,StatusRetired,112.5 ,Success,2018,Sep,Sat,22,1072.0,Japan
CASC,Long March 3B/YZ-1 | BeiDou-3 M13 & M14,StatusActive,nan,Success,2018,Sep,Wed,19,847.0,China
ISRO,PSLV-CA | SSTL-1 & NovaSAR-S,StatusActive,21.0 ,Success,2018,Sep,Sun,16,998.0,India
ULA,Delta II 7420-10C | ICESat-2,StatusRetired,nan,Success,2018,Sep,Sat,15,782.0,USA
SpaceX,Falcon 9 Block 5 | Telstar 18V / APStar 5C,StatusActive,50.0 ,Success,2018,Sep,Mon,10,285.0,USA
CASC,Long March 2C | Haiyang 1C (HY-1C),StatusActive,30.8 ,Success,2018,Sep,Fri,7,195.0,China
Exos,SARGE | Launch 1,StatusActive,nan,Partial Failure,2018,Aug,Sat,25,1095.0,New Mexico
CASC,Long March 3B/YZ-1 | BeiDou-3 M11 & M12,StatusActive,nan,Success,2018,Aug,Fri,24,1432.0,China
Arianespace,Vega | ADM-Aeolus,StatusActive,37.0 ,Success,2018,Aug,Wed,22,1280.0,France
ULA,Delta IV Heavy | Parker Solar Probe,StatusActive,350.0 ,Success,2018,Aug,Sun,12,451.0,USA
SpaceX,Falcon 9 Block 5 | Merah Putih (Telkom-4),StatusActive,50.0 ,Success,2018,Aug,Tue,7,318.0,USA
CASC,Long March 4B | Gaofen 11,StatusActive,64.68 ,Success,2018,Jul,Tue,31,180.0,China
